C3;TotalEdgeLength;EdgeMean;EdgeRatio;EdgeStdDev;
0,4699998;37,1301016807556;1,954216;2,781192;0,5423182;
0,4699998;37,1302667856216;1,954225;2,789281;0,542746;
0,4699998;37,1303218603134;1,954228;2,789576;0,5427892;
0,4799998;37,3472703695297;1,965646;2,809306;0,5489906;
0,4799998;37,3472703695297;1,965646;2,809306;0,5489906;
0,4799998;37,3470760583878;1,965635;2,80541;0,5489268;
0,4799998;37,3470573425293;1,965635;2,807702;0,5489186;
0,4799998;37,3470573425293;1,965635;2,807702;0,5489186;
0,4899998;37,5613269805908;1,976912;2,834894;0,5553125;
0,4899998;37,5612144470215;1,976906;2,828305;0,554857;
0,4899998;37,5612144470215;1,976906;2,828305;0,554857;
0,4899998;37,5613021850586;1,976911;2,831157;0,5551455;
0,4899998;37,5612775087357;1,976909;2,827107;0,5548488;
0,4999998;37,773292183876;1,988068;2,849075;0,5609802;
0,4999998;37,7731889486313;1,988063;2,855547;0,5612856;
0,4999998;37,7732826471329;1,988067;2,852354;0,5611125;
0,4999998;37,773247718811;1,988066;2,857338;0,5614711;
0,4999998;37,7733924388886;1,988073;2,849137;0,5611786;
0,5099998;37,9829202890396;1,999101;2,879644;0,5675828;
0,5099998;37,9828341007233;1,999097;2,878908;0,5674835;
0,5099998;37,9828517436981;1,999097;2,877752;0,5673749;
0,5099998;37,982910990715;1,999101;2,879608;0,5675774;
0,5099998;37,9831428527832;1,999113;2,877455;0,5675299;
0,5199998;38,1906541585922;2,010035;2,900521;0,5737035;
0,5199998;38,1906303167343;2,010033;2,898548;0,5734987;
0,5199998;38,1909867525101;2,010052;2,890246;0,5731411;
0,5199998;38,1909867525101;2,010052;2,890246;0,5731411;
0,5199998;38,1905663013458;2,01003;2,892705;0,5732747;
0,5299998;38,3962707519531;2,020857;2,915468;0,5793517;
0,5299998;38,3955367803574;2,020818;2,924124;0,5796233;
0,5299998;38,3960911035538;2,020847;2,916973;0,5793158;
0,5299998;38,3955575227737;2,020819;2,92403;0,5796201;
0,5299998;38,3955603837967;2,020819;2,924254;0,5796458;
0,5399998;38,5990384817123;2,031528;2,940559;0,5851257;
0,5399998;38,598886847496;2,03152;2,942193;0,585226;
0,5399998;38,5987673997879;2,031514;2,943255;0,5852697;
0,5399998;38,5990915298462;2,031531;2,940352;0,5850812;
0,5399998;38,5986526012421;2,031508;2,946264;0,5855783;
0,5499998;38,7996057271957;2,042084;2,968593;0,5914978;
0,5499998;38,8006488084793;2,04214;2,955081;0,5908431;
0,5499998;38,7995982170105;2,042084;2,968633;0,5915009;
0,5499998;38,8002109527588;2,042117;2,962388;0,5909985;
0,5499998;38,8002109527588;2,042117;2,962388;0,5909985;
0,5599998;38,9984821081162;2,052552;2,989868;0,5972508;
0,5599998;39,0002599954605;2,052645;2,97413;0,5964732;
0,5599998;38,9992001056671;2,052589;2,985151;0,596845;
0,5599998;39,000107049942;2,052637;2,981244;0,5969153;
0,5599998;38,9990690946579;2,052583;2,985826;0,5968978;
0,5699998;39,1955723762512;2,062925;3,010573;0,6029409;
0,5699998;39,1952015161514;2,062905;3,013692;0,6032863;
